"8-10-20 9ArrD Tda4 B_007_results.csv" "8-10-20 aly1Daly2D Tda4 A_001_results.csv"
"4805.346" "4805.346"
"13551.93" "13551.93"
"31476.01" "31476.01"
"3337.02" "3337.02"
"27557.98" "27557.98"
"9510.67" "9510.67"
"5853.804" "5853.804"
"22888.19" "22888.19"
"2903.823" "2903.823"
"21902.69" "21902.69"
"12465.71" "12465.71"
"42677.22" "42677.22"
"8596.959" "8596.959"
"9724.451" "9724.451"
"7883.887" "7883.887"
"7049.118" "7049.118"
"5309.132" "5309.132"
"5114.336" "5114.336"
"8233.565" "8233.565"
"8542.034" "8542.034"
"4885.313" "4885.313"
